Sinh viên,GPA,Điểm RL,Nhóm Cụm
SV01,3.24,70,2
SV02,3.31,75,3
SV03,3.32,73,3
SV04,3.11,79,2
SV05,2.42,50,1
SV06,3.01,75,2
SV07,3.37,84,3
SV08,2.36,70,1
SV09,3.19,76,2
SV10,2.94,90,2
SV11,2.59,70,2
SV12,2.82,69,2
SV13,2.95,70,2
SV14,2.36,65,1
SV15,3.42,70,3
SV16,2.19,64,1
SV17,3.13,73,2
SV18,2.5,80,2
SV19,2.57,107,2
SV20,3.28,105,2
SV21,2.98,82,2
SV22,3.38,88,3
SV23,2.72,70,2
SV24,3.35,88,3
SV25,2.67,83,2
SV26,2.75,70,2
SV27,3.54,83,3
SV28,3.18,73,2
SV29,3.33,76,3
SV30,3.64,73,4
SV31,2.79,78,2
SV32,3.57,83,3
SV33,3.04,70,2
SV34,2.59,68,2
SV35,2.15,78,1
SV36,2.69,70,2
SV37,2.68,78,2
SV38,2.83,73,2
SV39,2.8,82,2
SV40,3.3,73,3
SV41,2.41,69,1
SV42,2.79,69,2
SV43,2.99,92,2
SV44,3.04,78,2
SV45,3.13,70,2
SV46,3.38,83,3
SV47,2.73,73,2
SV48,2.45,69,1
SV49,2.85,74,2
SV50,3.55,81,3
SV51,2.57,70,2
SV52,3.22,109,2
SV53,3,74,2
SV54,3.09,79,2
SV55,3.22,74,2
SV56,2.57,69,2
SV57,3.85,92,4
SV58,2.77,70,2
SV59,3.68,106,4
SV60,3.5,91,3
